City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,verkhnevilyuysk,63.4453,120.3167,3.86,86,100,1.79,RU,1696201075
331,boiling springs,35.0465,-81.9818,26.08,51,0,2.06,US,1696201021
332,acarau,-2.8856,-40.12,25.65,79,20,7.71,BR,1696201075
333,cuatro cienegas de carranza,26.9833,-102.0833,31.93,38,11,7.32,MX,1696201075
334,troitsko-pechorsk,62.7084,56.1964,11.5,83,100,5.36,RU,1696201075
335,dongning,44.0622,131.1207,10.45,71,10,2.53,CN,1696201075
336,rabo de peixe,37.8,-25.5833,19.73,99,20,6.17,PT,1696201075
337,almeirim,-1.5233,-52.5817,30.07,47,80,0.78,BR,1696201076
338,sitka,57.0531,-135.33,12.94,82,100,4.12,US,1696201076
339,axim,4.8699,-2.2405,24.82,92,52,3.12,GH,1696201076
340,egilsstadir,65.2653,-14.3948,5.95,93,100,4.12,IS,1696201076
341,haiku-pauwela,20.9219,-156.3051,30.01,58,20,11.32,US,1696201076
342,saint-pierre,-21.3393,55.4781,21.82,64,0,2.57,RE,1696201076
343,okondja,-0.6549,13.6753,22.58,97,72,0.72,GA,1696201076
344,san martin de los andes,-40.1604,-71.3486,9.25,59,94,3.58,AR,1696201077
345,ludvika,60.1496,15.1878,7.89,94,81,1.76,SE,1696201077
346,mizan teferi,6.9833,35.5833,16.29,94,100,1.38,ET,1696201077
347,karachi,24.9056,67.0822,21.9,73,0,0.0,PK,1696201077
348,luena,-11.7833,19.9167,20.1,77,20,1.54,AO,1696201077
349,cambara,-23.0464,-50.0736,24.22,72,43,2.24,BR,1696201077
350,kavieng,-2.5744,150.7967,28.62,74,51,1.84,PG,1696201077
351,undurkhaan,47.3194,110.6556,8.92,40,100,0.79,MN,1696201077
352,bushehr,28.9684,50.8385,31.05,42,0,4.12,IR,1696201078
353,cill airne,52.05,-9.5167,10.55,96,100,2.08,IE,1696201078
354,usinsk,65.9939,57.5281,11.71,91,100,8.49,RU,1696201078
355,codrington,-38.2667,141.9667,14.29,58,1,4.88,AU,1696201078
356,datong,40.0936,113.2914,12.13,39,100,1.08,CN,1696201072
357,sabang,5.8933,95.3214,27.66,79,5,6.46,ID,1696201078
358,weno,7.4515,151.8468,28.97,89,100,2.06,FM,1696201078
359,puerto armuelles,8.2833,-82.8667,27.99,85,98,2.24,PA,1696201078
360,vallenar,-28.5708,-70.7581,14.77,53,0,2.32,CL,1696201078
